No_Inscription;No_Region_MEF;Nom_Dossier;Adresse;Qualite_Sol_Residuel*;Code_Muncp;NO_MRC;Contaminants_sols;Contaminants_eau;LATITUDE_DEG_DEC_NAD83;LONGITUDE_DEG_DEC_NAD83
6099;4;Produits réfractaires et abrasifs Électro du Canada ltée, phase III;"rue Perreault
Trois-Rivières";R : Non terminée;37067;371;Hydrocarbures aromatiques polycycliques*, Métaux*,;0;46.3617286957;-72.5257393958
6101;7;Bélair et Masseau (gravière);;R : Non terminée;84065;840;Hydrocarbures pétroliers C10 à C50,;0;;
6103;6;Coopérative Lachine;"1925, rue Notre-Dame
Lachine";R : Non terminée;66023;660;Cuivre (Cu), Hydrocarbures aromatiques polycycliques*, Hydrocarbures pétroliers C10 à C50, Nickel (Ni), Plomb (Pb), Zinc (Zn),;0;45.4347222222;-73.6813888889
6106;2;Marcel Lapointe;"898, rue Saint-Cyrille
Normandin";R : Non terminée;92040;920;Hydrocarbures pétroliers C10 à C50,;0;48.833611338;-72.5263969947
6110;17;Garage Omer Beauchemin;"9300, Boul. Port Royal
Bécancour";R : Non terminée;38010;380;Hydrocarbures aromatiques volatiles*,;Hydrocarbures aromatiques volatiles*,;46.2240880556;-72.4471547222
6119;7;Dépôt (Les Huiles de la Désert);"214, McDougall
Maniwaki";R : Non terminée;83065;830;Hydrocarbures légers*,;0;46.3783333333;-75.9827777778
6127;6;Les Industries Canadye inc;"3028, boul. LaSalle
Verdun";R : Non terminée;66023;660;Chrysène, Cuivre (Cu), Hydrocarbures pétroliers C10 à C50, Méthyl naphtalènes (chacun), Phénanthrène, Xylènes (o,m,p),;0;45.4735802377;-73.5698711392
6132;6;Clinique vétérinaire Lasalle;"7559, rue Broadway
LaSalle";R : Non terminée;66023;660;Hydrocarbures aromatiques polycycliques*, Hydrocarbures pétroliers C10 à C50,;0;45.4366011288;-73.5998043334
6134;12;Futur Marché IGA;"1008, boulevard Vachon Sud
Sainte-Marie";R : Non terminée;26030;260;Benzène, Éthylbenzène, Hydrocarbures pétroliers C10 à C50, Toluène, Xylènes (o,m,p),;0;46.425824;-71.003206
6138;16;Ville de Longueuil (lot P-328);"2625, boul Jacques-Cartier Ouest 
Longueuil";R : Non terminée;58227;580;Acénaphtène, Benzo(a)anthracène, Benzo(b+j+k)fluoranthène, Cadmium (Cd), Chrysène, Cuivre (Cu), Fluoranthène, Fluorène, Hydrocarbures pétroliers C10 à C50, Méthyl naphtalènes (chacun), Naphtalène, Nickel (Ni), Phénanthrène, Plomb (Pb), Pyrène, Zinc (Zn),;0;45.564655322;-73.45147125
6139;14;Bibeau, Alain;"2427, rue Cartier
Sainte-Julienne";R : Non terminée;63060;630;Hydrocarbures aromatiques polycycliques*, Hydrocarbures pétroliers C10 à C50,;0;45.9618166667;-73.7137166667
